iter	Passed	Remaining
399	35763	98350
400	35864	98292
401	35941	98169
402	36016	98039
403	36103	97943
404	36202	97880
405	36299	97812
406	36403	97761
407	36606	97977
408	36735	97991
409	36832	97920
410	36950	97904
411	37065	97881
412	37195	97896
413	37335	97937
414	37428	97854
415	37540	97822
416	37695	97899
417	37818	97893
418	37934	97870
419	38019	97763
420	38100	97650
421	38185	97543
422	38278	97460
423	38369	97372
424	38456	97272
425	38552	97196
426	38643	97106
427	38742	97036
428	38829	96938
429	38919	96846
430	39006	96746
431	39090	96640
432	39167	96517
433	39256	96422
434	39333	96300
435	39428	96219
436	39521	96135
437	39606	96033
438	39701	95953
439	39785	95848
440	39852	95699
441	39947	95620
442	40042	95540
443	40130	95445
444	40223	95360
445	40297	95231
446	40389	95144
447	40477	95050
448	40569	94964
449	40650	94850
450	40745	94772
451	40837	94685
452	40918	94573
453	41005	94475
454	41084	94358
455	41171	94260
456	41267	94183
457	41363	94107
458	41459	94028
459	41542	93921
460	41643	93856
461	41755	93814
462	41834	93699
463	41913	93581
464	42011	93509
465	42099	93413
466	42187	93318
467	42270	93211
468	42369	93140
469	42462	93056
470	42550	92961
471	42633	92853
472	42720	92757
473	42816	92678
474	42912	92600
475	43005	92515
476	43091	92416
477	43168	92297
478	43264	92220
479	43358	92136
480	43455	92060
481	43548	91975
482	43632	91872
483	43715	91766
484	43855	91780
485	43963	91725
486	44050	91627
487	44138	91533
488	44234	91454
489	44309	91332
490	44412	91267
491	44503	91177
492	44590	91080
493	44679	90986
494	44783	90924
495	44872	90829
496	44973	90761
497	45062	90668
498	45166	90604
499	45254	90508
500	45338	90406
501	45441	90339
502	45537	90260
503	45630	90173
504	45721	90084
505	45813	89997
506	45886	89873
507	45980	89788
508	46067	89691
509	46159	89603
510	46181	89379
511	46262	89273
512	46344	89166
513	46449	89104
514	46552	89038
515	46647	88956
516	46741	88871
517	46815	88751
518	46912	88672
519	46997	88571
520	47071	88451
521	47164	88366
522	47242	88251
523	47337	88170
524	47414	88054
525	47509	87974
526	47603	87890
527	47687	87789
528	47780	87702
529	47872	87616
530	47967	87533
531	48059	87446
532	48126	87313
533	48210	87211
534	48290	87103
535	48377	87008
536	48471	86924
537	48567	86843
538	48651	86742
539	48748	86664
540	48843	86581
541	48943	86508
542	49031	86415
543	49130	86339
544	49223	86253
545	49292	86125
